term,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,wave,model
EMP_STATUSRetired,2.7530197703197437,0.3617613949481828,0.36061718239616464,2.808236703472201,0.004981359790600854,1.3578488476242485,5.581709531979299,W4,Adjusted
EMP_STATUSDisabled,6.764300471998636,0.5477853547038978,0.5747081967394133,3.326312140892694,8.800331824612629e-4,2.1929583676496174,20.86485614613895,W4,Adjusted
SMOKESTATUSEver/Current smoker,1.055379308542545,0.10677931957715608,0.10676386735435155,0.5048546648817394,0.6136609178414879,0.8561128320451883,1.301026503993517,W4,Adjusted
R_DEPRESYes,1.9637002827469554,0.13071456644716498,0.13173400850921763,5.122675612756876,3.01230322718084e-7,1.5168513112163395,2.5421864173148987,W4,Adjusted
BMI_CV_W5,1.0514642130430423,0.016229333610349842,0.015119819916100053,3.3190660777734218,9.031905443060811e-4,1.0207619710992861,1.0830899099028921,W5,Adjusted
BASELINE_AGE,1.1301755492881598,0.013621632679808234,0.013107819129291745,9.335875999162704,1.001595341753711e-20,1.1015101705720467,1.1595869074413137,W5,Adjusted
RAGENDERFemale,0.9384972398850633,0.12700533212557777,0.12764099084205588,-0.49729607649310004,0.6189802781462537,0.7307768672804782,1.205261289331197,W5,Adjusted
RACE_ETH3Non-Hispanic Black,2.0831639469955436,0.15855219918128635,0.15890090113951463,4.618525515398072,3.864764633152309e-6,1.5256916114973864,2.8443310544278275,W5,Adjusted
RACE_ETH3Hispanic or Other,1.210199327249202,0.20648193203513485,0.2070229575375648,0.9215648427339291,0.356755603974481,0.8065636514720557,1.8158299211741296,W5,Adjusted
RAEDUCGED,0.8846157408906445,0.25413707003740177,0.26182016386009715,-0.46826767479978887,0.6395931817958728,0.529532884560686,1.4778024780854229,W5,Adjusted
RAEDUCHigh school graduate,0.606925468844476,0.17052993261479335,0.16918121735897776,-2.951564537392467,0.0031616846708835303,0.4356403007401555,0.8455565844258294,W5,Adjusted
RAEDUCCollege or above,0.5884965885985018,0.16347143820469318,0.16391588225085216,-3.234489189163665,0.0012186053398848154,0.42679418906202155,0.8114642693547687,W5,Adjusted
